Name,Points,Score difference
Matyáš Veselý,5,194.0
Petra Kudová,4,178.0
Karel Scholz,4,142.0
Michal Konfršt,4,87.0
Vladimír Suchý,4,38.0
Roman Krejčík,4,8.0
Tomáš Moos,3,132.0
Alexandr Potěšil,3,73.0
Martin Čepelík,3,28.0
Martin Mojžíš,3,17.0
Martin Rejent,3,15.0
Jáchym Toušek,3,7.0
Milan Mach,3,4.0
Jana Novotná,3,-9.0
Aneta Petráková,3,-13.0
Zdravko Kalfinov,3,-36.0
Petr Povolný,2,52.0
Tomáš Puchta,2,30.0
Jan Pavlík,2,9.0
Kamila Babická,2,5.0
Bobo Kebza,2,-4.0
Jan Neuberg,2,-8.0
Radka Neubergová,2,-14.0
Lukáš Salák,2,-88.0
Jakub Zvěřina,2,-96.0
Alžběta Rejentová,2,-106.0
Monika Dvořáková,1,-19.0
Tibor Vizi,1,-58.0
Jiří Boček,1,-83.0
Marek Jaroš,1,-117.0
Martin Plesnivý,1,-135.0
Štěpán Rejent,0,-233.0
